Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
19,14.3,0,430,0.722,0.530836364,3.2,1.4,
19,14.5,0,440,0.723,0.532363636,3.2,1.4,
19,14.55,0,450,0.729,0.532363636,3.2,1.4,
19,12.9,0,350,0.699,0.515563636,3.2,1.4,
19,12.8,0,350,0.661,0.505745455,4.2,2.7,
19,12.6,0,350,0.659,0.508363636,4.2,2.7,
19,13.5,0,350,0.6878,0.535636364,4.1,2.7,
19,13.5,0,350,0.687,0.534545455,4.2,2.7,
19,13.5,0,350,0.686,0.533890909,4.2,2.6,
19,13.475,0,350,0.686,0.534327273,4.2,2.7,
19,14.2,0,400,0.67,0.530181818,4.2,2.7,
19,14,0,400,0.67,0.529090909,4.2,2.7,
15.7,8.5,0,250,0.56,0.433309091,1.85,2.25,
15.7,9,0,250,0.577,0.443345455,3.2,1.4,
16.9,9.55,0,250,0.614,0.476072727,1.85,2.25,
16.9,10.05,0,250,0.632,0.488290909,3.2,1.4,
19.4,11.4,0,250,0.729,0.572945455,1.85,2.25,
19.4,11.9,0,250,0.741,0.578618182,3.2,1.4,
20.6,12.4,0,250,0.783,0.624436364,1.85,2.25,
20.6,12.9,0,250,0.792,0.627490909,3.2,1.4,
21.8,13.3,0,250,0.838,0.673527273,1.85,2.25,
21.8,13.9,0,250,0.847,0.673745455,3.2,1.4,
24.2,15.6,0,250,0.957,0.771054545,1.85,2.25,
24.2,16.15,0,250,0.966,0.753818182,3.2,1.4,
26.6,17.4,0,250,1.072,0.876436364,1.85,2.25,
26.6,18.1,0,250,1.083,0.846763636,3.2,1.4,
29,19.5,0,250,1.184,0.966327273,1.85,2.25,
29,20.15,0,250,1.213,0.942763636,3.2,1.4,
14.3,8.5,0,275,0.511,0.387490909,3.2,1.4,
14.3,7.85,0,250,0.511,0.387272727,3.2,1.4,
14.3,7.65,0,240,0.51,0.385309091,3.2,1.4,
14.3,7.5,0,230,0.517,0.385963636,3.2,1.4,
14.3,7.1,0,220,0.524,0.384218182,3.2,1.4,
14.7,8.1,0,275,0.526,0.409745455,1.85,2.25,
14.7,8.8,0,275,0.536,0.408872727,3.2,1.4,
16.5,9.5,0,275,0.583,0.493745455,1.85,2.25,
16.5,10.1,0,275,0.605,0.515563636,3.2,1.4,
16.5,9.65,0,275,0.592,0.461454545,1.85,2.25,
16.5,10.2,0,275,0.613,0.4728,3.2,1.4,
18.8,11.6,0,275,0.696,0.542836364,1.85,2.25,
18.8,12.05,0,275,0.719,0.555490909,3.2,1.4,
19,11.7,0,275,0.732,0.621381818,3.2,1.4,
19,11.3,0,275,0.703,0.607636364,1.85,2.25,
19,11.6,0,275,0.698,0.601745455,1.85,2.25,
19,12.1,0,275,0.722,0.625963636,3.2,1.4,
19,11.6,0,275,0.698,0.602181818,1.85,2.25,
19,12.05,0,275,0.719,0.620509091,3.2,1.4,
19,11.75,0,275,0.704,0.553745455,1.85,2.25,
19,12.2,0,275,0.728,0.569018182,3.2,1.4,
19,12.45,0,275,0.722,0.5664,1.85,2.25,
19,12.85,0,275,0.729,0.574254545,3.2,1.4,
19,11.9,0,275,0.708,0.557890909,1.85,2.25,
19,12.5,0,275,0.739,0.576872727,3.2,1.4,
21.1,13.55,0,275,0.804,0.632290909,1.85,2.25,
21.1,14.1,0,275,0.824,0.642763636,3.2,1.4,
23.5,15.6,0,275,0.912,0.720436364,1.85,2.25,
23.5,16.3,0,275,0.933,0.728945455,3.2,1.4,
25.8,17.55,0,275,1.019,0.817090909,1.85,2.25,
25.8,18.4,0,275,1.043,0.821018182,3.2,1.4,
28.2,19.7,0,275,1.121,0.901090909,1.85,2.25,
28.2,20.4,0,275,1.148,0.896945455,3.2,1.4,
14.7,8.45,0,300,0.527,0.406472727,1.85,2.25,
14.7,9.15,0,300,0.54,0.406036364,3.2,1.4,
16.5,10.25,0,300,0.6,0.455563636,1.85,2.25,
16.5,10.85,0,300,0.622,0.471490909,3.2,1.4,
18.8,12.15,0,300,0.699,0.541090909,1.85,2.25,
18.8,12.8,0,300,0.726,0.557454545,3.2,1.4,
19,12.5,0,300,0.71,0.550254545,1.85,2.25,
19,13.05,0,300,0.736,0.564218182,3.2,1.4,
21.1,14.2,0,300,0.807,0.630545455,1.85,2.25,
21.1,14.9,0,300,0.829,0.643636364,3.2,1.4,
23.5,16.3,0,300,0.915,0.718690909,1.85,2.25,
23.5,17,0,300,0.922,0.723272727,3.2,1.4,
25.8,18.4,0,300,1.033,0.806181818,1.85,2.25,
25.8,19.3,0,300,1.041,0.805309091,3.2,1.4,
28.2,20.7,0,300,1.174,0.922690909,1.85,2.25,
28.2,21.95,0,300,1.173,0.922036364,3.2,1.4,
14.7,9.55,0,330,0.54,0.401454545,1.85,2.25,
14.7,9.9,0,330,0.604,0.425454545,3,1.4,
16.5,10.9,0,330,0.604,0.455563636,1.85,2.25,
16.5,11.5,0,330,0.646,0.474981818,3.2,1.4,
18.8,12.7,0,330,0.7,0.536072727,1.85,2.25,
18.8,13.4,0,330,0.73,0.548727273,3.2,1.4,
19,13.1,0,330,0.717,0.553309091,1.85,2.25,
19,13.7,0,330,0.746,0.567490909,3.2,1.4,
21.1,15.15,0,330,0.823,0.640363636,1.85,2.25,
21.1,15.5,0,330,0.839,0.6432,3.2,1.4,
23.5,17.45,0,330,0.94,0.738545455,1.85,2.25,
23.5,18.05,0,330,0.953,0.739418182,3.2,1.4,
25.8,19.6,0,330,1.059,0.809236364,1.85,2.25,
25.8,19.95,0,330,1.072,0.794618182,3.2,1.4,
28.2,22.05,0,330,1.187,0.916581818,1.85,2.25,
28.2,22.45,0,330,1.2,0.894545455,3.2,1.4,
16.5,11.5,0,370,0.622,0.458181818,1.85,2.25,
16.5,12.05,0,370,0.66,0.472581818,3.2,1.4,
