Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,8,300,2.5,NaN,0,12.95,0.732,1.25,3.2
131.293,12.1,NaN,8.88,300,2.5,NaN,0,14.1,0.825,2.25,1.85
131.293,12.1,NaN,8.88,300,2.5,NaN,0,14.95,0.827,1.4,3.2
131.293,12.1,NaN,9.87,300,2.5,NaN,0,16.1,0.946,2.25,1.85
131.293,12.1,NaN,9.87,300,2.5,NaN,0,16.7,0.927,1.45,3.25
131.293,12.1,NaN,10.85,300,2.5,NaN,0,18.1,1.054,2.25,1.85
131.293,12.1,NaN,10.85,300,2.5,NaN,0,18.3,1.044,1.6,3.7
131.293,12.1,NaN,11.84,300,2.5,NaN,0,20,1.183,2.25,1.85
131.293,12.1,NaN,11.84,300,2.5,NaN,0,20.85,1.186,1.25,2.7
131.293,12.1,NaN,12.83,300,2.5,NaN,0,22.05,1.33,2.25,1.85
131.293,12.1,NaN,12.83,300,2.5,NaN,0,23.1,1.322,1.2,2.7
131.293,12.1,NaN,7.89,350,2.5,NaN,0,13.2,0.722,2.25,1.85
131.293,12.1,NaN,7.89,350,2.5,NaN,0,13.45,0.753,1.2,3
131.293,12.1,NaN,7.89,350,2.5,NaN,0,13.35,0.772,1.25,2.7
131.293,12.1,NaN,6.92,275,1.5,NaN,0.420436364,9.05,0.573,3.2,1.4
131.293,12.1,NaN,6.92,275,1.5,NaN,0.411927273,8.5,0.548,1.85,2.25
131.293,12.1,NaN,6.92,275,1.5,NaN,0.415636364,8.5,0.55,2.16,2.66
131.293,12.1,NaN,7.89,275,1.5,NaN,0.521890909,11.05,0.683,3.2,1.4
131.293,12.1,NaN,7.89,275,1.5,NaN,0.510109091,10.85,0.684,3.2,1.4
131.293,12.1,NaN,7.89,275,1.5,NaN,0.517090909,11,0.687,3.2,1.4
131.293,12.1,NaN,7.89,275,1.5,NaN,0.514472727,10.95,0.689,3.2,1.4
131.293,12.1,NaN,7.89,275,1.5,NaN,0.498763636,10.25,0.657,1.85,2.25
131.293,12.1,NaN,7.89,275,1.5,NaN,0.502254545,10.3,0.657,2.16,2.66
131.293,12.1,NaN,8,275,1.5,NaN,0.511636364,11.3,0.69,3.2,1.4
